Kit Name,Kit Link,Kit Photo,forma_tur
2021-22 FC Groningen Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2021-22-fc-groningen-away-shirt-bnib-906716.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/g/r/groningen-21-away-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2021-22 Groningen Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2021-22-groningen-home-shirt-bnib.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/g/r/groningen-21-home-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2021-22 Den Bosch Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2021-22-den-bosch-home-shirt-bnib.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/d/e/den-bosch-21-home-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2021-22 Ado Den Haag Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2021-22-ado-den-haag-home-shirt-bnib.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/a/d/ado-den-haag-21-home-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2010-11 Feyenoord Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2010-11-feyenoord-home-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/f/e/feyenoord-10-home-use-_7_1_2_3_1_1_1_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1990-92 PSV Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1990-92-psv-home-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-90-home-alt-_3_1_1_1_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1990-92 PSV Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1990-92-psv-home-shirt-excellent-l-957808.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-90-home_5.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1990-92 PSV Home Shirt (Excellent) M/L,https://www.classicfootballshirts.co.uk/1990-92-psv-home-shirt-excellent-ml.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-90-home-alt-_3_1_1_1_1_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2018-19 FC Twente Away Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2018-19-fc-twente-away-shirt-excellent-l-outlet3989.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/o/u/outlet3989-1_pqgzo45oaesspv7n.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2010-11 Ajax Away Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/2010-11-ajax-away-shirt-very-good-l-960661.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/a/j/ajax-10-away_8_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1997-98 Ajax Home Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/1997-98-ajax-home-shirt-very-good-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/a/j/ajax-97-home-new-use_1_2_2_2_3.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2000-01 Feyenoord Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2000-01-feyenoord-home-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/f/e/feyenoord-00-home_1_3_1_1_1_2_1_3_1_1_3_2_2_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1990-92 PSV Home Shirt (Very Good) L/XL,https://www.classicfootballshirts.co.uk/1990-92-psv-home-shirt-very-good-l-944031.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-90-home-alt-_3_1_1_1_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1998-00 PSV Home Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/1998-00-psv-home-shirt-very-good-l-960818.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-98-home_10_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
